Verb,Tense,Subject,cntx_cat
কাটিতেছিলাম,Past,1st,cntx_pst
কাটিতেছিলি,Past,2nd_i,cntx_pst
কাটিতেছিলে,Past,2nd_f,cntx_pst
কাটিতেছিলেন,Past,pol_f,cntx_pst
কাটিতেছিস,Present,2nd_i,cntx_prt
কাটিতেছে,Present,3rd_f,cntx_prt
কাটিতেছেন,Present,pol_f,cntx_prt
কাটিতেন,Past,pol_f,cntx_pst
কাটিব,Future,1st,cntx_fut
কাটিবার,Present,404_f,cntx_404
কাটিবি,Future,2nd_i,cntx_fut
কাটিবে,Future,2nd_f,cntx_fut
কাটিবেন,Future,pol_f,cntx_fut
কাটিয়া,Participle,404_f,cntx_404
কাটিয়াছ,Present,2nd_f,cntx_prt
কাটিয়াছি,Present,1st,cntx_prt
কাটিয়াছিল,Past,3rd_f,cntx_pst
কাটিয়াছিলাম,Past,1st,cntx_pst
কাটিয়াছিলি,Past,2nd_i,cntx_pst
কাটিয়াছিলে,Past,2nd_f,cntx_pst
কাটিয়াছিলেন,Past,pol_f,cntx_pst
কাটিয়াছিস,Present,2nd_i,cntx_prt
কাটিয়াছে,Present,3rd_f,cntx_prt
কাটিয়াছেন,Present,pol_f,cntx_prt
কাটিয়ে,Participle,404_f,cntx_404
কাটিয়েছ,Present,2nd_f,cntx_prt
কাটিয়েছি,Present,1st,cntx_prt
কাটিয়েছিল,Past,3rd_f,cntx_pst
কাটিয়েছিলাম,Past,1st,cntx_pst
কাটিয়েছিলি,Past,2nd_i,cntx_pst
কাটিয়েছিলুম,Past,1st,cntx_pst
কাটিয়েছিলে,Past,2nd_f,cntx_pst
কাটিয়েছিলেন,Past,pol_f,cntx_pst
কাটিয়েছিলেম,Past,1st,cntx_pst
কাটিয়েছিস,Present,2nd_i,cntx_prt
কাটিয়েছে,Present,3rd_f,cntx_prt
কাটিয়েছেন,Present,pol_f,cntx_prt
কাটিয়ো,Present,2nd_f,cntx_prt
কাটিল,Past,3rd_f,cntx_pst
কাটিলাম,Past,1st,cntx_pst
কাটিলি,Past,2nd_i,cntx_pst
কাটিলে,Past,2nd_f,cntx_pst
কাটিলেন,Past,pol_f,cntx_pst
কাটিস,Present,2nd_i,cntx_prt
কাটুক,Present,3rd_f,cntx_prt
কাটুন,Present,pol_f,cntx_prt
কাটে,Present,3rd_f,cntx_prt
কাটেন,Present,pol_f,cntx_prt
কাটছ,Present,2nd_f,cntx_prt
কাটছি,Present,1st,cntx_prt
কাটছিল,Past,3rd_f,cntx_pst
